Network,SchoolId,UnitName
Network 8,609855,Walter S Christopher Elementary School
Network 8,610167,William H Seward Communication Arts Academy ES
Network 9,610175,Beulah Shoesmith Elementary School
Network 9,609969,Bret Harte Elementary School
Network 9,610590,Bronzeville Classical Elementary School
Network 9,610345,Carter G Woodson South Elementary School
Network 9,610030,Charles Kozminski Elementary Community Academy
Network 9,609819,Edmond Burke Elementary School
Network 9,610246,Edward Beasley Elementary Magnet Academic Center
Network 9,610065,Emmett Louis Till Math and Science Academy
Network 9,610110,Ida B Wells Preparatory Elementary Academy
Network 9,610276,Irvin C Mollison Elementary School
Network 9,610256,Jackie Robinson Elementary School
Network 9,609891,James R Doolittle Jr Elementary School
Network 9,609894,John B Drake Elementary School
Network 9,609919,John Fiske Elementary School
Network 9,610126,John J Pershing Elementary Humanities Magnet
Network 9,610237,Ludwig Van Beethoven Elementary School
Network 9,610090,Phillip Murray Elementary Language Academy
Network 9,609987,Thomas A Hendricks Elementary Community Academy
Network 9,610143,William C Reavis Math & Science Specialty ES
Network 9,610142,William H Ray Elementary School
Network 9,609977,Woodlawn Community Elementary School
Network 10,610185,Adlai E Stevenson Elementary School
Network 10,609788,Alice L Barnard Computer Math & Science Ctr ES
Network 10,610084,Annie Keller Regional Gifted Center
Network 10,610287,Ashburn Community Elementary School
Network 10,609871,Barbara Vick Early Childhood & Family Center
Network 10,610087,Blair Early Childhood Center
Network 10,609839,Carroll-Rosenwald Specialty Elementary School
Network 10,609879,Charles Gates Dawes Elementary School
Network 10,610347,Claremont Academy Elementary School
Network 10,610077,Donald Morrill Math & Science Elementary School
Network 10,610352,Durkin Park Elementary School
Network 10,610006,Edward N Hurley Elementary School
Network 10,610195,Elizabeth H Sutherland Elementary School
Network 10,609908,Esmond Elementary School
Network 10,610057,Fairfield Elementary Academy
Network 10,610067,Francis M McKay Elementary School
Network 10,609861,Henry R Clissold Elementary School
Network 10,609893,John C Dore Elementary School
Network 10,610207,John H Vanderpoel Elementary Magnet School
Network 10,610016,Kate S Kellogg Elementary School
Network 10,609807,Lionel Hampton Fine & Performing Arts ES
Network 10,610206,Mark Twain Elementary School
Network 10,609832,Michael M Byrne Elementary School
Network 10,609960,Nathan Hale Elementary School
Network 10,609981,Phoebe Apperson Hearst Elementary School
Network 10,610588,Robert J. Richardson Middle School
Network 10,609956,Robert L Grimes Elementary School
Network 10,610109,William Bishop Owen Scholastic Academy ES
Network 11,609869,Anna R. Langford Community Academy
Network 11,610037,Arthur A Libby Elementary School
Network 11,609941,Asa Philip Randolph Elementary School
Network 11,610290,Benjamin E Mays Elementary Academy
Network 11,610238,Carrie Jacobs Bond Elementary School
Network 11,609986,Charles R Henderson Elementary School
Network 11,609897,Charles W Earle Elementary School
Network 11,609790,Clara Barton Elementary School
Network 11,610223,Daniel S Wentworth Elementary School
Network 11,610299,Dr. Martin L. King Jr Academy of Social Justice
Network 11,609924,Fort Dearborn Elementary School
Network 11,609927,Foster Park Elementary School
Network 11,610112,Francis W Parker Elementary Community Academy
Network 11,609864,John W Cook Elementary School
Network 11,610019,Joshua D Kershaw Elementary School
Network 11,609793,Lillian R. Nicholson STEM Academy
Network 11,610108,Luke O'Toole Elementary School
Network 11,610369,Mahalia Jackson Elementary School
Network 11,610362,Medgar Evers Elementary School
Network 11,610300,Oliver S Westcott Elementary School
Network 11,609997,Oliver Wendell Holmes Elementary School
Network 11,610003,Paul Cuffe Math-Science Technology Academy ES
Network 11,609791,Perkins Bass Elementary School
Network 11,610102,Richard J Oglesby Elementary School
Network 11,609929,Robert Fulton Elementary School
Network 11,609805,Scott Joplin Elementary School
Network 11,610521,Sir Miles Davis Magnet Elementary Academy
Network 11,609895,Turner-Drew Elementary Language Academy
Network 11,610032,Wendell E Green Elementary School
Network 11,610153,William H Ryder Math & Science Specialty ES
Network 12,610281,Adam Clayton Powell Paideia Community Academy ES
Network 12,610316,Amelia Earhart Options for Knowledge ES
Network 12,610171,Arnold Mireles Elementary Academy
Network 12,609887,Arthur Dixon Elementary School
Network 12,610268,Arthur R Ashe Elementary School
Network 12,609827,Burnside Elementary Scholastic Academy
Network 12,609813,Charles S Brownell Elementary School
Network 12,609815,Edward A Bouchet Math & Science Academy ES
Network 12,609862,Edward Coles Elementary Language Academy
Network 12,610124,Harold Washington Elementary School
Network 12,610279,Henry O Tanner Elementary School
Network 12,610052,Horace Mann Elementary School
Network 12,610066,James E McDade Elementary Classical School
Network 12,610047,James Madison Elementary School
Network 12,610200,James N Thorp Elementary School
Network 12,610093,Jane A Neil Elementary School
Network 12,610130,John T Pirie Fine Arts & Academic Center ES
Network 12,610218,Joseph Warren Elementary School
Network 12,610152,Martha Ruggles Elementary School
Network 12,609961,Ninos Heroes Elementary Academic Center
Network 12,610115,Park Manor Elementary School
Network 12,610116,Parkside Elementary Community Academy
Network 12,610146,Paul Revere Elementary School
Network 12,610350,Robert A Black Magnet Elementary School
Network 12,610530,South Shore Fine Arts Academy
Network 12,610178,Theophilus Schmid Elementary School
Network 12,610002,Thomas Hoyne Elementary School
Network 12,610193,William K New Sullivan Elementary School
Network 13,609808,Alex Haley Elementary Academy
Network 13,609821,Burnham Elementary Inclusive Academy
Network 13,610004,Countee Cullen Elementary School
Network 13,610198,Douglas Taylor Elementary School
Network 13,610188,Dunne Technology Academy
Network 13,610132,Edgar Allan Poe Elementary Classical School
Network 13,610315,Edward White Elementary Career Academy
Network 13,609917,Fernwood Elementary School
Network 13,609800,Frank I Bennett Elementary School
Network 13,610139,George M Pullman Elementary School
Network 13,609845,George Washington Carver Primary School
Network 13,610219,George Washington Elementary School
Network 13,609856,Henry Clay Elementary School
Network 13,609848,Ira F Aldridge Elementary School
Network 13,609943,Jesse Owens Elementary Community Academy
Network 13,610176,John D Shoop Math-Science Technical Academy ES
Network 13,610054,John L Marsh Elementary School
Network 13,610225,John Whistler Elementary School
Network 13,610199,Johnnie Colemon Elementary Academy
Network 13,610368,Langston Hughes Elementary School
Network 13,610128,Marcus Moziah Garvey Elementary School
Network 13,609935,Matthew Gallistel Elementary Language Academy
Network 13,610208,Mildred I Lavizzo Elementary School
Network 13,610086,Mount Vernon Elementary School
Network 13,609811,Orville T Bright Elementary School
Network 13,609902,Ralph H Metcalfe Elementary Community Academy
Network 13,610091,Ronald Brown Elementary Community Academy
Network 13,610586,Southeast Area Elementary School
Network 13,610295,Thomas J Higgins Elementary Community Academy
Network 13,609978,Wendell Smith Elementary School
Network 13,610364,William E B Dubois Elementary School
Network 14,609720,Albert G Lane Technical High School
Network 14,609729,Carl Schurz High School
Network 14,609732,Charles P Steinmetz College Preparatory HS
Network 14,610564,Disney II Magnet High School
Network 14,610515,Disney II Magnet School
Network 14,609708,Edwin G. Foreman College and Career Academy
Network 14,609737,Friedrich W von Steuben Metropolitan Science HS
Network 14,609766,Jacqueline B Vaughn Occupational High School
Network 14,609716,Kelvyn Park High School
Network 14,609719,Lake View High School
Network 14,609730,Nicholas Senn High School
Network 14,609744,Northside Learning Center High School
Network 14,609769,Ray Graham Training Center High School
Network 14,609733,Roger C Sullivan High School
Network 14,609724,Stephen T Mather High School
Network 14,609728,Theodore Roosevelt High School
Network 14,610394,Uplift Community High School
Network 14,609734,William Howard Taft High School
Network 15,610334,Al Raby High School
Network 15,610518,Austin College and Career Academy High School
Network 15,609679,Charles Allen Prosser Career Academy High School
Network 15,610245,Frederick A Douglass Academy High School
Network 15,609693,George Westinghouse College Prep
Network 15,610383,Greater Lawndale High School For Social Justice
Network 15,609694,John Hancock College Preparatory High School
Network 15,609723,John Marshall Metropolitan High School
Network 15,609722,Manley Career Academy High School
Network 15,609756,Marie Sklodowska Curie Metropolitan High School
Network 15,610244,Michele Clark Academic Prep Magnet High School
Network 15,610385,Multicultural Academy of Scholarship
Network 15,609691,North-Grand High School
Network 15,610529,Ogden International High School
Network 15,610561,Richard T Crane Medical Preparatory HS
Network 15,609759,Roberto Clemente Community Academy High School
Network 15,609750,Simpson Academy HS for Young Women
Network 15,609740,Wells Community Academy High School
Network 15,610101,William B Ogden Elementary School
Network 15,610392,World Language Academy High School
Network 16,610513,Air Force Academy High School
Network 16,609748,Consuella B York Alternative HS
Network 16,609704,David G Farragut Career Academy High School
Network 16,609735,Edward Tilden Career Community Academy HS
Network 16,609682,Ellen H Richards Career Academy High School
Network 16,609709,Gage Park High School
Network 16,609741,Gurdon S Hubbard High School
Network 16,609768,Hope College Preparatory High School
Network 16,609718,John F Kennedy High School
Network 16,609725,Morgan Park High School
Network 16,609783,Nancy B Jefferson Alternative HS
Network 16,609762,Percy L Julian High School
Network 16,610391,Robert Lindblom Math & Science Academy HS
Network 16,610558,Sarah E. Goode STEM Academy
Network 16,610357,Spry Community Links High School
Network 16,609715,Thomas Kelly High School
Network 16,609698,William J Bogan High School
Network 16,609711,William Rainey Harper High School
Network 17,610323,Bowen High School
Network 17,610381,Bronzeville Scholastic Academy High School
Network 17,609754,Chicago Military Academy High School
Network 17,609674,Chicago Vocational Career Academy High School
Network 17,609705,Christian Fenger Academy High School
Network 17,610380,Daniel Hale Williams Prep School of Medicine
Network 17,609751,Dr  Martin Luther King  Jr  College Prep HS
Network 17,609712,Emil G Hirsch Metropolitan High School
Network 17,609761,George H Corliss High School
Network 17,609760,George Washington Carver Military Academy HS
Network 17,609739,George Washington High School
Network 17,609726,Gwendolyn Brooks College Preparatory Academy HS
Network 17,609713,Hyde Park Academy High School
Network 17,609710,John M Harlan Community Academy High School
Network 17,609746,Kenwood Academy High School
Network 17,609692,Neal F Simeon Career Academy High School
Network 17,609676,Paul Laurence Dunbar Career Academy High School
Network 17,610547,South Shore Intl College Prep High School
AUSL,610339,Amos Alonzo Stagg Elementary School
AUSL,610106,Brian Piccolo Elementary Specialty School
AUSL,609883,Charles S Deneen Elementary School
AUSL,610248,Chicago Academy Elementary School
AUSL,610340,Chicago Academy High School
AUSL,610499,Collins Academy High School
AUSL,609885,Dewey Elementary Academy of Fine Arts
AUSL,610254,Dvorak Technology Academy
AUSL,610543,Eric Solorio Academy High School
AUSL,609900,George W Curtis Elementary School
AUSL,610103,Isabelle C O'Keeffe Elementary School
AUSL,610274,James Weldon Johnson Elementary School
AUSL,610263,John Foster Dulles Elementary School
AUSL,609971,John Harvard Elementary School of Excellence
AUSL,610000,Julia Ward Howe Elementary School of Excellence
AUSL,610036,Leslie Lewis Elementary School
AUSL,610053,Marquette Elementary School
AUSL,609928,Melville W Fuller Elementary School
AUSL,610257,Morton School of Excellence
AUSL,609806,Myra Bradwell Communications Arts & Sciences ES
AUSL,610231,National Teachers Elementary Academy
AUSL,610389,Orr Academy High School
AUSL,610021,Pablo Casals Elementary School
AUSL,610282,Ronald E McNair Elementary School
AUSL,610396,Tarkington School of Excellence ES
AUSL,609991,Theodore Herzl Elementary School
AUSL,609851,Thomas Chalmers Specialty Elementary School
AUSL,609955,Walter Q Gresham Elementary School
AUSL,609727,Wendell Phillips Academy High School
AUSL,610172,William T Sherman Elementary School
AUSL,609844,William W Carter Elementary School
ISP,610038,Abraham Lincoln Elementary School
ISP,610342,Albert R Sabin Elementary Magnet School
ISP,610098,Alfred Nobel Elementary School
ISP,609837,Andrew Carnegie Elementary School
ISP,609951,Ariel Elementary Community Academy
ISP,609820,Augustus H Burley Elementary School
ISP,609786,Avalon Park Elementary School
ISP,610563,Back of the Yards IB HS
ISP,609922,Belmont-Cragin Elementary School
ISP,609764,Benito Juarez Community Academy High School
ISP,610076,Bernhard Moos Elementary School
ISP,610039,Carl von Linne Elementary School
ISP,610148,Cesar E Chavez Multicultural Academic Center ES
ISP,610366,Charles H Wacker Elementary School
ISP,609996,Charles N Holden Elementary School
ISP,609833,Charles P Caldwell Academy of Math & Science ES
ISP,609875,Charles R Darwin Elementary School
ISP,609753,Chicago High School for Agricultural Sciences
ISP,609899,Christian Ebinger Elementary School
ISP,609863,Christopher Columbus Elementary School
ISP,609870,Daniel J Corkery Elementary School
ISP,609835,Daniel R Cameron Elementary School
ISP,610402,DeVry University Advantage Academy HS
ISP,610533,Dr Jorge Prieto Math and Science
ISP,609852,Eliza Chappell Elementary School
ISP,609973,Emiliano Zapata Elementary Academy
ISP,610203,Enrico Tonti Elementary School
ISP,610541,Federico Garcia Lorca Elementary School
ISP,610120,Ferdinand Peck Elementary School
ISP,609939,Frank L Gillespie Elementary School
ISP,609958,Frank W Gunsaulus Elementary Scholastic Academy
ISP,609926,Franklin Elementary Fine Arts Center
ISP,610062,George B McClellan Elementary School
ISP,609849,George F Cassell Elementary School
ISP,609795,George Rogers Clark Elementary School
ISP,609985,Helen M Hefferan Elementary School
ISP,610040,Henry D Lloyd Elementary School
ISP,610390,Hyman G Rickover Naval Academy High School
ISP,610384,Infinity Math Science and Technology High School
ISP,610213,James Wadsworth Elementary School
ISP,610217,James Ward Elementary School
ISP,609772,Jane Addams Elementary School
ISP,610173,Jesse Sherwood Elementary School
ISP,609789,John Barry Elementary School
ISP,609829,John C Burroughs Elementary School
ISP,609898,John F Eberhart Elementary School
ISP,610026,John H Kinzie Elementary School
ISP,610242,Joseph Brennemann Elementary School
ISP,610015,Joseph Jungman Elementary School
ISP,610129,Josiah Pickard Elementary School
ISP,610520,LaSalle II Magnet Elementary School
ISP,610024,Lazaro Cardenas Elementary School
ISP,610298,Lenart Elementary Regional Gifted Center
ISP,609738,Lincoln Park High School
ISP,609834,Little Village Elementary School
ISP,609773,Louis A Agassiz Elementary School
ISP,610117,Louis Pasteur Elementary School
ISP,609817,Lyman A Budlong Elementary School
ISP,610197,Mancel Talcott Elementary School
ISP,610544,Mariano Azuela Elementary School
ISP,609780,Marine Leadership Academy at Ames
ISP,610081,Mark Sheridan Math & Science Academy
ISP,610177,Mark Skinner Elementary School
ISP,610312,Mary E McDowell Elementary School
ISP,610082,Mount Greenwood Elementary School
ISP,609749,Northside College Preparatory High School
ISP,610201,Ole A Thorp Elementary Scholastic Academy
ISP,610386,Peace & Education Coalition HS
ISP,610147,Philip Rogers Elementary School
ISP,610304,Phoenix Military Academy High School
ISP,609842,Rachel Carson Elementary School
ISP,610141,Ravenswood Elementary School
ISP,609903,Richard Edwards Elementary School
ISP,610291,Richard Henry Lee Elementary School
ISP,609695,Roald Amundsen High School
ISP,610027,Rudyard Kipling Elementary School
ISP,610250,Rueben Salazar Elementary Bilingual Center
ISP,610155,Sauganash Elementary School
ISP,609990,South Loop Elementary School
ISP,609745,Southside Occupational Academy High School
ISP,610548,STEM Magnet Academy
ISP,610249,Talman Elementary School
ISP,610504,Velma F Thomas Early Childhood Center
ISP,609944,Virgil Grissom Elementary School
ISP,610363,Walt Disney Magnet Elementary School
ISP,610587,Walter Henri Dyett High School for the Arts
ISP,609680,Walter Payton College Preparatory High School
ISP,610179,Washington D Smyser Elementary School
ISP,610542,West Ridge Elementary School
ISP,609755,Whitney M Young Magnet High School
ISP,609945,William C. Goudy Technology Academy
ISP,609678,William Jones College Preparatory High School
Charter,400009,Academy for Global Citizenship Charter School
Charter,400081,Acero Charter Schools - Bartolomé de las Casas
Charter,400153,Acero Charter Schools - Brighton Park
Charter,400082,Acero Charter Schools - Carlos Fuentes
Charter,400114,Acero Charter Schools - Esmeralda Santiago
Charter,400112,Acero Charter Schools - Jovita Idar
Charter,400085,Acero Charter Schools - Major Hector P. Garcia MD
Charter,400083,Acero Charter Schools - Octavio Paz Campus
Charter,400089,Acero Charter Schools - Officer Donald J. Marquez
Charter,400080,Acero Charter Schools - PFC Omar E. Torres
Charter,400120,Acero Charter Schools - Roberto Clemente
Charter,400084,Acero Charter Schools - Rufino Tamayo
Charter,400101,Acero Charter Schools - Sandra Cisneros
Charter,400121,Acero Charter Schools - Sor Juana Inés de la Cruz
Charter,400079,Acero Charter Schools - SPC Daniel Zizumbo
Charter,400149,Acero Charter Schools - Victoria Soto
Charter,400011,Alain Locke Charter School
Charter,400060,Asian Human Services - Passages Charter School
Charter,400172,ASPIRA Business and Finance
Charter,400013,ASPIRA Charter School - Early College High School
Charter,400017,ASPIRA Charter School - Haugan Middle School
Charter,400115,Catalyst - Maria Charter School
Charter,400021,Catalyst Elementary Charter School - Circle Rock
Charter,400161,Chicago Collegiate Charter School
Charter,400035,Chicago Math and Science Academy Charter School
Charter,400036,Chicago Virtual Charter School
Charter,400159,Christopher House Charter School
Charter,400023,CICS - Avalon/South Shore
Charter,400024,CICS - Basil
Charter,400025,CICS - Bucktown
Charter,400113,CICS - ChicagoQuest North
Charter,400027,CICS - Irving Park
Charter,400092,CICS - Lloyd Bond
Charter,400033,CICS - Longwood
Charter,400026,CICS - Loomis Primary
Charter,400034,CICS - Northtown
Charter,400028,CICS - Prairie
Charter,400032,CICS - Ralph Ellison
Charter,400029,CICS - Washington Park
Charter,400030,CICS - West Belden
Charter,400031,CICS - Wrightwood
Charter,400094,EPIC Academy Charter High School
Charter,400039,Erie Elementary Charter School
Charter,400171,Foundations College Preparatory Charter School
Charter,400040,Frazier Preparatory Academy Charter School
Charter,400168,Great Lakes Academy Charter School
Charter,400167,Horizon Science Academy Southwest Chicago Charter
Charter,400104,Instituto Health Sciences Career Academy
Charter,400162,Intrinsic Charter School
Charter,400146,KIPP Academy Chicago Campus
Charter,400044,KIPP Ascend Charter School
Charter,400163,KIPP Chicago Charter School - KIPP Bloom
Charter,400180,KIPP One Academy
Charter,400045,Kwame Nkrumah Academy Charter School
Charter,400047,L.E.A.R.N. - Charles and Dorothy Campbell Campus
Charter,400048,L.E.A.R.N. - Excel Campus
Charter,400111,L.E.A.R.N. - Hunter Perkins Campus
Charter,400165,L.E.A.R.N. - Middle School Campus
Charter,400046,L.E.A.R.N. - Romano Butler Campus
Charter,400107,L.E.A.R.N. - South Chicago Campus
Charter,400151,L.E.A.R.N. Charter School - 7th Campus
Charter,400049,Legacy Charter School
Charter,400119,Legal Prep Charter Academy
Charter,400178,Moving Everest Charter School
Charter,400050,Namaste Charter School
Charter,400157,Noble - Baker College Prep
Charter,400156,Noble - Butler College Prep
Charter,400097,Noble - Chicago Bulls College Prep
Charter,400118,Noble - DRW College Prep
Charter,400052,Noble - Gary Comer College Prep
Charter,400053,Noble - Golder College Prep
Charter,400117,Noble - Hansberry College Prep
Charter,400169,Noble - ITW David Speer Academy
Charter,400106,Noble - John and Eunice Johnson College Prep
Charter,400098,Noble - Muchin College Prep
Charter,400051,Noble - Noble College Prep
Charter,400054,Noble - Pritzker College Prep
Charter,400055,Noble - Rauner College Prep
Charter,400056,Noble - Rowe-Clark Math and Science Academy
Charter,400170,Noble - The Noble Academy
Charter,400057,Noble - UIC College Prep
Charter,400179,Noble Mansueto High School
Charter,400058,North Lawndale College Prep - Christiana
Charter,400059,North Lawndale College Prep - Collins
Charter,400062,Perspectives - High School of Technology
Charter,400061,Perspectives - Leadership Academy
Charter,400066,Perspectives - Math and Science Academy
Charter,400064,Perspectives - Rodney D. Joslin
Charter,400069,Polaris Charter Academy
Charter,400071,Providence Englewood Charter School
Charter,400096,Rowe Elementary Charter School
Charter,400116,The Montessori School of Englewood Charter
Charter,400078,University of Chicago - Carter G. Woodson
Charter,400075,University of Chicago - Donoghue
Charter,400076,University of Chicago - North Kenwood/Oakland
Charter,400077,University of Chicago - Woodlawn
Charter,400105,Urban Prep Academy for Young Men - Bronzeville
Charter,400086,Urban Prep Academy for Young Men - Englewood
Charter,400102,Urban Prep Charter Academy for Young Men - West
Charter,400087,Young Women's Leadership Charter School
Contract,400022,Chicago High School for the Arts (ChiArts)
Contract,400091,Chicago Technology Academy High School
Contract,400043,Hope Institute Learning Academy
Contract,400068,Plato Learning Academy
Options,610581,Bridgescape Academy Brainerd
Options,610580,Bridgescape Academy Humboldt Park
Options,610567,Bridgescape Academy Roseland
Options,610566,Bridgscape Academy Lawndale
Options,400147,Camelot - Chicago Excel Academy
